,gene_pair,A1,A2,ols_p,ols_coef,n_A2_lost,A2_lost_mean_quant_A1,A2_other_mean_quant_A1,p_adj,compensation,collateral_loss,sorted_gene_pair,bronze_standard_SL,strict_comb_hit,lenient_comb_hit,in_PC_CORUM,in_PC_CORUM_essential,in_PC_CORUM_both,in_PC_EBI,in_PC_humap,closest_pair,famsize2,other_dir_comp,other_dir_cl,dataset,FDR_threshold
1572,PRKCH_PRKCZ,PRKCH,PRKCZ,0.0027868356321948816,-0.16172704584596248,48,22.04713350045205,22.22603105408732,0.018343321567530574,False,True,PRKCH_PRKCZ,,False,False,True,False,False,True,True,False,False,False,False,pancan,0.05
1573,PRKCQ_PRKCZ,PRKCQ,PRKCZ,0.06496624296234746,-0.13869030796200787,49,22.173480838725176,22.20562446490595,0.1815081332428154,False,False,PRKCQ_PRKCZ,,False,False,True,False,False,True,True,False,False,False,False,pancan,0.05
1574,PRKCE_PRKCZ,PRKCE,PRKCZ,0.0385330295988643,-0.1230272523345398,47,21.973543755606485,22.174430491026524,0.1245710397789187,False,False,PRKCE_PRKCZ,,False,True,True,False,False,True,True,False,False,,,pancan,0.05
1575,PRKCA_PRKCZ,PRKCA,PRKCZ,0.19586753177021543,-0.069935022267694,56,25.26333000471246,25.49404753856969,0.37783905621889535,False,False,PRKCA_PRKCZ,,False,False,True,False,False,True,True,False,False,False,False,pancan,0.05
1576,PRKCB_PRKCZ,PRKCB,PRKCZ,2.0055904231972215e-06,-0.33244081274405746,56,24.203015733712782,24.40223880756916,6.543955037974934e-05,False,True,PRKCB_PRKCZ,,False,False,True,False,False,True,True,False,False,False,False,pancan,0.05
1577,PRKCD_PRKCB,PRKCD,PRKCB,0.04395562443449271,-0.11887707514809343,28,25.022525320597726,24.985759687802275,0.13631448588956416,False,False,PRKCB_PRKCD,,False,False,True,False,False,False,True,False,False,False,True,pancan,0.05
1578,PRKCI_PRKCB,PRKCI,PRKCB,0.00016211342552192165,0.20611302469937032,28,24.648660984527908,24.07811188771973,0.002140272045618896,True,False,PRKCB_PRKCI,,False,False,True,False,False,True,True,False,False,,,pancan,0.05
1579,PRKCH_PRKCB,PRKCH,PRKCB,0.05632052936285612,-0.14532129857521608,24,21.972799560747273,22.20994519578493,0.16272750039818265,False,False,PRKCB_PRKCH,,False,False,False,False,False,False,True,False,False,False,True,pancan,0.05
1580,PRKCQ_PRKCB,PRKCQ,PRKCB,0.2405152040922727,0.12080089828171003,26,22.646602313692163,22.15208169153313,0.4298409437768004,False,False,PRKCB_PRKCQ,,False,False,False,False,False,False,True,False,False,False,True,pancan,0.05
1581,PRKCE_PRKCB,PRKCE,PRKCB,0.029656214291059527,0.16866198457444348,27,23.018405527468758,22.110185054970902,0.10304755085365808,False,False,PRKCB_PRKCE,,False,False,False,False,False,False,True,False,False,,,pancan,0.05
1582,PKN1_PRKCB,PKN1,PRKCB,0.20262270338957708,0.058287393935381626,28,24.658335610179268,24.291494604897103,0.3848567605337164,False,False,PKN1_PRKCB,,,,False,False,False,False,True,False,False,False,True,pancan,0.05
1583,PRKCA_PRKCB,PRKCA,PRKCB,0.1812131511209707,-0.09994249016447165,28,25.685470796076462,25.480930928604288,0.36053092897275174,False,False,PRKCA_PRKCB,,False,False,True,False,False,False,True,True,False,False,False,pancan,0.05
1584,PRKCZ_PRKCB,PRKCZ,PRKCB,0.6569016270498642,0.033395439628383095,24,21.38829551463479,21.539961607918237,0.7999804405128712,False,False,PRKCB_PRKCZ,,False,False,True,False,False,True,True,False,False,False,True,pancan,0.05
1585,PKN2_PRKCQ,PKN2,PRKCQ,0.0013534650135043316,0.09066650762416315,122,24.232325099756856,24.529607233837066,0.010586692091931141,True,False,PKN2_PRKCQ,,False,False,False,False,False,False,False,False,False,False,False,pancan,0.05
1586,PRKCD_PRKCQ,PRKCD,PRKCQ,4.748938802879409e-05,-0.15051344997948277,122,24.35318463655776,25.085547614525023,0.0007888419073292051,False,True,PRKCD_PRKCQ,,False,False,True,False,False,False,True,True,False,False,False,pancan,0.05
1587,PRKCI_PRKCQ,PRKCI,PRKCQ,0.0002578633650948671,0.1270848613416141,122,23.93847436811993,24.10264220834644,0.0030343060335981504,True,False,PRKCI_PRKCQ,,False,False,True,False,False,True,True,False,False,,,pancan,0.05
1588,PRKCH_PRKCQ,PRKCH,PRKCQ,0.001136008945147037,-0.15683790207797788,104,20.27773926154157,22.591327999493533,0.009388207913160883,False,True,PRKCH_PRKCQ,,False,False,False,False,False,False,True,False,False,False,True,pancan,0.05
1589,PRKCE_PRKCQ,PRKCE,PRKCQ,0.011812056581501659,-0.1334777069811078,113,23.545152048366575,21.84634149418756,0.052335086774296394,False,False,PRKCE_PRKCQ,,False,False,False,False,False,False,False,False,False,,,pancan,0.05
1590,PKN1_PRKCQ,PKN1,PRKCQ,0.023152798553031703,-0.06690673023028042,122,24.53851487593257,24.24887635882455,0.0857066319207851,False,False,PKN1_PRKCQ,,False,False,False,False,False,False,False,False,False,False,False,pancan,0.05
1591,PRKCA_PRKCQ,PRKCA,PRKCQ,0.053474177948077045,-0.09236948966640389,122,26.39341040108219,25.303542717645453,0.15658336209411278,False,False,PRKCA_PRKCQ,,False,False,True,False,False,False,True,False,False,False,False,pancan,0.05
1592,PRKCB_PRKCQ,PRKCB,PRKCQ,2.064209133491994e-10,-0.3953860283159561,122,25.160246115106656,24.26082557849078,3.2514852833763544e-08,False,True,PRKCB_PRKCQ,,False,False,False,False,False,False,True,False,False,False,False,pancan,0.05
1593,PRKCZ_PRKCQ,PRKCZ,PRKCQ,0.2885139373682694,0.052852733785564876,82,20.333531967301592,21.760776835885295,0.480821476066492,False,False,PRKCQ_PRKCZ,,False,False,True,False,False,True,True,False,False,False,False,pancan,0.05
1594,PKN2_PRKCH,PKN2,PRKCH,0.23980929105397028,-0.028470945281820453,109,24.32768379690081,24.49054105270541,0.4292511134539719,False,False,PKN2_PRKCH,False,,,False,False,False,False,True,False,False,False,False,pancan,0.05
1595,PRKCD_PRKCH,PRKCD,PRKCH,0.5007135409425305,0.02252051811394574,109,24.576371077008844,25.008170715661297,0.6799225490563257,False,False,PRKCD_PRKCH,False,False,False,True,False,False,False,True,False,False,False,True,pancan,0.05
1596,PRKCI_PRKCH,PRKCI,PRKCH,5.3556911668132e-08,0.16536395618540117,109,24.05600935959372,24.079163545554056,3.545622789855464e-06,True,False,PRKCH_PRKCI,False,False,False,True,False,False,True,True,False,False,,,pancan,0.05
1597,PRKCQ_PRKCH,PRKCQ,PRKCH,0.003665903274538441,-0.17457655099389494,91,21.924808455366115,22.19234103463188,0.02229806412528841,False,True,PRKCH_PRKCQ,,False,False,False,False,False,False,True,False,False,False,True,pancan,0.05
1598,PRKCE_PRKCH,PRKCE,PRKCH,0.5060183338299272,-0.03741910644078122,62,22.8597747465548,22.094083269615354,0.6845892829173831,False,False,PRKCE_PRKCH,False,False,False,False,False,False,False,True,True,False,,,pancan,0.05
1599,PKN1_PRKCH,PKN1,PRKCH,0.00444143043974924,-0.07006291130540528,109,24.245513830737814,24.324801606250812,0.02587813041935527,False,True,PKN1_PRKCH,False,,,False,False,False,False,True,False,False,False,False,pancan,0.05
1600,PRKCA_PRKCH,PRKCA,PRKCH,0.15892846896126078,-0.05796792654495017,109,25.526867596477498,25.505897747707234,0.33044389905099647,False,False,PRKCA_PRKCH,False,False,False,True,False,False,False,True,False,False,False,False,pancan,0.05
1601,PRKCB_PRKCH,PRKCB,PRKCH,0.0011196505035768935,-0.17746885369055004,109,24.38073532604879,24.40418606722406,0.00929920636425318,False,True,PRKCB_PRKCH,,False,False,False,False,False,False,True,False,False,False,False,pancan,0.05
1602,PRKCZ_PRKCH,PRKCZ,PRKCH,0.9695047412326991,-0.0017237272057470943,81,21.731465171668034,21.505571604942087,0.9839107251283452,False,False,PRKCH_PRKCZ,,False,False,True,False,False,True,True,False,False,False,True,pancan,0.05
1603,PRKCD_PKN2,PRKCD,PKN2,0.3903085843344466,-0.03444806424887228,65,25.203079523696566,24.968420733125164,0.5798145083706511,False,False,PKN2_PRKCD,,,,True,False,False,False,True,False,False,True,False,pancan,0.05
1604,PRKCH_PKN2,PRKCH,PKN2,0.17301584043689658,-0.06750279783040773,59,22.213076087177598,22.221004527481984,0.3512606040514416,False,False,PKN2_PRKCH,False,,,False,False,False,False,True,False,False,False,False,pancan,0.05
1605,PRKCQ_PKN2,PRKCQ,PKN2,0.06719682957465255,-0.1263319945944198,60,22.509806324499596,22.18185163470563,0.18529690780824132,False,False,PKN2_PRKCQ,,False,False,False,False,False,False,False,False,False,True,False,pancan,0.05
1606,PRKCE_PKN2,PRKCE,PKN2,0.2760107931568772,-0.06176691806404144,53,22.567634249915766,22.119105199829452,0.4678433548486292,False,False,PKN2_PRKCE,False,,,False,False,False,False,False,False,False,,,pancan,0.05
1607,PKN1_PKN2,PKN1,PKN2,0.013434827099459404,-0.0773483260892317,65,24.336316283927815,24.29500718399602,0.05687700666388374,False,False,PKN1_PKN2,False,False,False,False,False,False,False,False,True,False,True,False,pancan,0.05
1608,PRKCA_PKN2,PRKCA,PKN2,0.5294344037042218,-0.031907620935320735,65,25.407943645536054,25.47572156141833,0.7022230999189563,False,False,PKN2_PRKCA,False,,,True,False,False,False,True,False,False,False,False,pancan,0.05
1609,RAN_RABL2B,RAN,RABL2B,0.0008852855717741549,0.08314390572907833,99,29.20347409863521,29.013406743792537,0.007806919868463976,True,False,RABL2B_RAN,False,,,True,True,False,False,True,True,False,False,False,pancan,0.05
1610,RABL2B_RAN,RABL2B,RAN,0.9583781230970977,0.005959413756267948,20,20.839880080746084,20.74299807577303,0.9776398540213359,False,False,RABL2B_RAN,False,,,True,True,False,False,True,True,False,True,False,pancan,0.05
1611,ACAP2_ACAP3,ACAP2,ACAP3,4.665604308298035e-05,0.1362550208702556,56,25.789429420334802,25.322612419098494,0.0007806769406705283,True,False,ACAP2_ACAP3,,False,False,False,False,False,False,False,True,False,False,False,pancan,0.05
1612,ACAP1_ACAP3,ACAP1,ACAP3,3.89018755241605e-06,-0.30567774927332125,53,22.936739900517292,22.966415903356165,0.00010969368357676862,False,True,ACAP1_ACAP3,,,,False,False,False,False,False,False,False,False,False,pancan,0.05
1613,ACAP2_ACAP1,ACAP2,ACAP1,0.8161142470248053,-0.005011821930367263,161,25.366133261511173,25.359679393657036,0.8991823155835288,False,False,ACAP1_ACAP2,,,,False,False,False,False,False,False,False,False,False,pancan,0.05
1614,ACAP3_ACAP1,ACAP3,ACAP1,0.8457696026814728,-0.008125677961692957,106,20.13409590002232,20.0519057695981,0.9173887379911931,False,False,ACAP1_ACAP3,,,,False,False,False,False,False,False,False,False,True,pancan,0.05
1615,AGAP2_AGAP3,AGAP2,AGAP3,0.000553498952166754,-0.24588259602867388,32,21.768676024110576,21.58748061123737,0.005368117226109835,False,True,AGAP2_AGAP3,,,,False,False,False,False,False,False,False,,,pancan,0.05
